.NET技术	Microsoft .Net Technology
逻辑学导论	Introduction to Logic
逻辑学概论	Introduction to Logic
逻辑与思维训练	Reasoning Logic and Developing of Thinking Capacities
马克思主义基本原理	Marxism Basic Theory
马克思主义哲学原理	Marxism Philosophy
马克思主义政治经济学原理	Marxism Political Economics
毛邓三重要思想概论	"An Introduction to Mao Zedong Thought, Deng Xiaoping Theory & Important Idea of the Three Representives"
毛泽东和唐宋诗词	Mao Zedong and Poetry and Ci in Tang and Song Dynasty
毛泽东思想概论	Introduction to Mao Zedong's Thought
贸易投资经济分析	Economic Analysis to Trade Investment
媒介管理学概论	Introduction to Management in Radio and TV
媒介经济学	Media Economics
媒介经营管理	Media Management
媒介批评	Media Criticism
媒介摄影	Media Photography
媒介与社会	Media and Society
媒体传播设计	Media Design
媒体经济	Media Economics
媒体经营管理	Management of Radio and Television
媒体经营管理	Media Management
媒体经营与管理	Media Management
酶工程	Enzymatic Engineering
酶与酶工程	Enzyme and Enzymatic Engineering
美国的文化与历史	AMERICAN HISTORY AND CULTURE
美国短篇小说欣赏	Enjoyment of American Short Story
美国法导论	American Law
美国简史	American History
美国社会与文化	American Society and Culture
美国文化读本	A Reader of American Culture
美国文明	America Civilization
美国文学概论(1)	American Culture
美国文学概论（1）	American Culture（1）
美国文学概论（2)	American Culture
美国文学概论（2）	American Culture（2）
美术	Arts
美术（1）	Arts I
美术（2）	Arts II
美术（选）	Arts
美术1	Arts I
美术2	Arts II
美术I(3)	Arts I(III)
美术II	Arts II
美术基础	Fundamentals of Art
美术基础	Fundamentals of Fine Arts
美术基础(1)	Fundamentals of Art I
美术基础（2）	Fundamentals of Art II
美术基础（3）	Fundamentals of Art III
美术基础(二)	Fundamentals of Fine Art II
美术基础(三)	Fundamentals of Fine Art III
美术基础(四)	Fundamentals of Fine Art IV
美术基础(一)	Fundamentals of Fine Art I
美术基础IV	Fundamentals of Art IV
美术基础IV	Fundamentals of Fine Art IV
美术与建筑表现	Art and Architecture Rendering
美学	Aesthetics
美学导论	Introduction to Aesthetics
美学概论	Introduction to Aesthetics
美学原理	Theory of Aesthetics
镁合金及其成形技术	Magnesium Alloys and Their Forming Technology
密码工程	Cryptography Engineering
密码学基础	Fundamentals of Cryptography
密码学基础（A类）	Fundamentals of Cryptography
免疫学	Immunology
免疫学基础（植物部分）	Introduction to Immunology
面向对象编程技术	Object-Oriented Programming
面向对象的编程技术	Object-Oriented Programming
面向对象的程序设计	Object-Oriented Program Design
面向对象方法与技术	Object-Oriented Method and Technology
面向对象分析与设计	Object-Oriented Analysis and Design
面向对象技术与语言	Object Oriented Technology & Language
面向对象技术与语言	Object-Oriented Technology & Language
面向对象设计与UML	Object-Oriented Design and UML
面向制造的设计	Design For Manufacturability
面向制造的设计（J类）	Design for Manufacturability
民法	Civil Law
民法（1）	Civil Law I
民法（2）	Civil Law II
民法学	Civil Law
民法总论	Civil Law
民歌概论	Conspectus of Folk song
民国史专题研究	Seminar on the Republic of China
民商法	Civil and Commercial Law
民商法（J类）（1）	Civil and Commercial Law
民商法（J类）（2）	Civil and Commercial Law
民事诉讼法	Civil Procedure Law
民俗与中国文化	Folk-Custom and Chinese Culture
民主的智慧	Wisdom of Democracy
民族主义与族群政治	Nationalism and Ethnic Politics
名特优蔬菜栽培学	Vegetable Planting Science
模糊方法及其应用导论	Introduction to the Fuzzy Means and It's Applications
模糊技术应用	Application of Fuzzy Technology
模糊技术在机械工程中应用	Application of Fuzzy Mathematics in Mechanical Engineering
模糊逻辑控制技术及其应用	Fuzzy Control and Application
模具技术	Die Technology
模拟电路	Analog Circuit
模拟电路*	Analog Circuit
模拟电路实验	Analog Circuit Lab.
模拟电子技术	Analog Electronic Technology
模拟电子技术（1）	Analog Electronic Technology
模拟电子技术（2）	Analog Electronic Technology II
模拟电子技术I	Analog Electronic Technology I
模拟电子技术II	Analog Electronic Technology II
模拟电子技术基础	Analog Electronic Technology
模拟电子技术实验	Analog Electronic Technology Lab.
模拟电子技术一	Analog Electronic Technology I
模拟电子技术一、二	Analogue Electronics
模拟电子线路	Analog Electronic Circuitry
模拟集成电路设计	Analog Integration Circuits Design
模式识别导论	Introductory Pattern Recognition
模式识别基础	Pattern Recognition
模型飞行器试验	Model Aircraft Experiment
模型设计	Model Designing
模型制作	Model Making
膜法水处理技术	Membrane Separation Technology and its application in water treatment
内燃机电子控制技术	Electronic Control Technology of Internal Combustion Engine
内燃机原理	Theory of Internal-Combustion Engine
纳米材料	Nanomaterials
纳米材料科学	Nanomaterials Science
纳米材料科学及其复合材料新进展	The Development of Nammaterials and Nanocomposites
纳米材料与技术	Nanomaterials and Technology
纳米工程导论	Introduction to Nano-Material Engineering
纳米技术与生物医学	Nanotechnology and Biomedical Science
纳米技术与制造	Nanotechnology and Manufacture
纳米科学基础	Introduction to Nanoscience
纳米科学与技术	Nanomaterials Science and Technology
纳米生物医药技术	Nanobiological Technology in Medicine
纳米世界的科学与艺术	Science and Art of Nano World
纳税会计	Tax-paying Accounting
脑与机器人	Electric Brain and Robotics
能源材料	Materials for energy conversion and sustainable development
能源高效清洁利用	Energy Efficiency and Clean Energy
能源工程与管理	Energy Engineering and Management
能源管理	Energy Management
能源化工导论	Introduction to Chemistry
能源化工导论	Introduction to Energy Chemical Engineering
能源化学工程	Energy Chemical Engineering
能源科学概论	Introduction to Energy Resources Science
能源科学概论	Introduction to Energy Science
能源清洁利用	Cleanliness and Using on Energy Sources
能源与动力前沿学科	Forward Subjects of Energy and Power Machinery
能源与环境	Energy and Environment
能源与可持续发展	Energy Sources and Sustainable Development
能源与生态	Energy Sources and Zoology
农产品安全检测	Safety Inspection of Agricultural Products
农产品储藏加工学	Storage and Process of Agriculture Products
农产品商品学	Commercial Science of Agricultural Products
农产品贮藏加工	Storage and Process of Agriculture Products
农村经济学	Rural Economics
农村社会学	Rural Sociology
农副产品加工机械	Processing Machine for Farm By-products
农生院科技创新	Innovation of Science and Technology
农学概论	Introduction to Agronomy
农药污染与防止	Pesticide Pollution and Control
农药污染与防治	Pesticide Pollution and Control
农业工程导论	Introduction to Agricultural Engineering
农业工程与持续发展	Agricultural Engineering and Sustainable Development
农业环境保护	Environmental Protection in Agriculture
农业环境保护概论	Environmental Protection in　Agriculture
农业环境科学	Environmental Science in Agriculture
农业环境与资源概论	Agricultural Environment and Resource
农业机械化管理	Management of Farm Machinery
农业机械化新技术	New Technology of Agricultural Mechanization
农业机械学	Agricultural Machinery
农业机械学实习	Agricultural Machinery Practice
农业技术经济学	Agricultural Technicoeconomics
农业经济学	Agriculture Economics
农业昆虫学	Agricultural Entomology
农业面源污染与防治	Agricultural Non-point Source Pollution Control
农业面源污染与防治	Agricultural Spanned Pollution and Control
农业气象学	Agro-Meteorology
农业生态学	Agro-Ecology
农业推广	Agriculture Extensive
农业推广学	Agriculture Extensive
农业有害生物防控的基因设计	Molecular Designs to Control Pests in Agriculture
农业植物病理学	Plant Pathology
农业资源信息系统	Agricultural Resources Information System
农业资源与环境分析技术	Agricultural Resources and Environmental Analysis Technology
农业自然资源	Agricultural Natural Resources
女性文学	Women's Literature
女性写作与都市文化	Woman Writing and Urban Culture
女性心理与修养	Psychology and Accomplishment of Women
女性学	Women's Studies
暖通空调E	"Heating, Ventilation & Air Conditioning"
欧美文化史	Western Cultural History
欧美医药跨国公司概论	Introductory European and American Medicine Corporations
欧洲古典音乐	Appreciation of Europe Classical Music
欧洲古典音乐	Europe Classical Music
欧洲古典音乐鉴赏	Appreciation of Europe Classical Music
欧洲历史	History of Europe
欧洲文明史概论	An Introduction to the Process of European Civilization
欧洲一体化研究	Research on European Integration
配合饲料学	Formula Feed science
配位化学	Coordination Chemistry
盆花观赏栽培	Pot Flowers Enjoyment and Culture
匹克演奏教程	Tutorial of Performance
偏微分方程	Partial Differential Equations
偏微分方程及其数值模拟方法(上）	Partial Differential Equations
偏微分方程及其数值模拟方法(下）	Numerical Solutions and Experiments of Partial Differential Equations
偏微分方程数值解	Numerical Solutions of Partial Differential Equations
偏微分方程续论	Continued Course in Partial Differential Equations
偏微分方程续论（A）	Continued Course in Partial Differential Equations
偏微分方程选讲(3)	Partial Differential Equations III
票据法	Law of Bill
品牌与广告策划	Brand and Advertisement
品牌与广告传播	Brand and Advertisement
品牌与企业形象	Brand and Company Image
乒乓球	Table Tennis
平面构成	Composition of a Plane Picture
平面广告制作	Advertising Design
平面显示技术	Display Technology
破产法	Bankruptcy Law
普适数字学习	Digital Learning
普通病学	Common Illness
普通化学	General Chemistry
普通化学实验	General Chemistry lab.
普通昆虫学	General Entomology
普通生态学	General Ecology
普通生物学	Biology
普通生物学实验	Biology Lab.
普通物理（1）	Physics I
普通物理（2）	Physics II
普通物理实验（1）	Physics Lab I
普通物理实验（2）	Physics Lab II
普通植物病理学	General Plant Pathology
期货交易概论	Conspectus of Futures
期货交易概论（A类）	Conspectus of Futures
期货交易概论（B类）	Conspectus of Futures
奇妙的低温世界	The Wonders of the Low Temperature World
企业财务会计	Enterprise Financial Accounting
企业策划理论与实务	Corporation Planning Theory and Pratice
企业级应用系统体系架构	Enterprise System Architecture
企业经济活动分析	Analysis of Enterprise Economic Work
企业竞争战略	Competition Stratagem of Enterprises
企业理论	Corporation Theory
企业评估	Corporate Valuation
企业投资价值分析与评估	Value Analysis and Evaluation of Enterprise Investment
企业文化	Enterprise Culture
企业信息化与知识工程	Corporation MIS and Knowledge Engineering
企业信息系统原理	Information System Theory
企业形象策划	Planning in Companys Image
企业形象策划与传播	Design & Communications of Company Image
企业形象设计与传播	Design & Communications of Company Image
企业资源计划	Enterprise Resources Planning
企业资源计划（A类）	Enterprise Resources Planning
企业资源计划（B类）	Enterprise Resources Planning
气动技术	Pneumatic Technology
气轮机及热力系统	Steam Turbine and Thermodynamics Systems
气体动力学与两相流	Aerodynamics and Two-phase Flow
气体力学与两相流	Aerodynamics and Two-phase Flow
汽车安全技术与法律基础	Introduction to Vehicle Safety Technology and Law
汽车传动系统匹配与构造	Matching and Construction of Power_train
汽车传动系统匹配与构造	Matching and Construction of Power-train
汽车电子	Automobile Electronic Technology
汽车电子技术	Automobile Electronic Technology
汽车电子中的单片机应用技术	MCU technology and its use in Autoelectronics
汽车动力技术	Automobile Electronic Technology
汽车动力系统匹配	Automobile Power System Matching
汽车动力系统与匹配	Automobile Power System Matching
汽车发动机振动与噪声	Vibration & Noise of Automobile Engines
汽车发动机振动与噪声	Vibration and Noise of Automobile Engines
汽车工程导论	Introductory Automobile Engineering
汽车工艺	Manufacturing Technology of Automobile
汽车构造（1）	Automobile Construction(I)
汽车构造（2）	Automobile Construction(II)
汽车构造（I）	Automobile Construction(I)
汽车构造（II）	Automobile Construction(II)
汽车节能技术与原理	Technique and principles of Automotive Energy Saving
汽车结构	Automobile Construction
汽车结构（1）	Automobile Construction I
汽车结构（2）	Automobile Construction II
汽车金融理论与实务	Motor Financial Theory and Its Application
汽车理论	Theory of Automobile
汽车排放及控制	Automobile Exhaust and Control
汽车设计原理	Design Principles of Automobile
汽车设计原理	Design Principles of Automobile
汽车网络技术概论	Introductrion to Network Technology of Automobile
汽车文化与设计哲学	Automobile Culture and Design Philosophy
汽车与大气环境	Vehicle and Atmospheric Environment
汽车与拖拉机	Auto-tractor Structure
汽车与拖拉机课程实习	Automobile and Tractor Practice
汽车制造工艺	Manufacturing Technology of Automobile
汽车制造工艺学	Manufacturing Technology of Automobile
汽车总线通信与控制技术	Vehicle Bus Communication &Control Technology
汽轮机及其系统	Fundamentals of Steam Turbine Design
汽轮机设计基础	Fundamentals of Steam Turbine Design
汽油机原理	Otto Engines
前沿技术讲座（1）	Advanced Technology Lecture I
前沿技术讲座(2)	Advanced Technology Lecture II
前沿技术讲座（3）	Advanced Technology Lecture III
嵌入式计算机操作系统的VC编程	VC Programming on Embedded OS
嵌入式计算机系统	Embedded Computer System
嵌入式计算机系统及实验	Embedded Computer System Lab.
嵌入式计算机系统原理及应用	Embedded Computer System Principle and Application
嵌入式控制系统	Embedded Control Systems
嵌入式软件系统	Embedded Software System
嵌入式系统	Embedded System
嵌入式系统及应用	Embedded System and Application
嵌入式系统技术基础	Embedded System Technology
嵌入式系统软件设计与工业控制应用	Software Design and Industrial Applications of Embedded System
嵌入式系统设计	Embedded System Design
嵌入式系统设计（A类）	Embedded System Design
嵌入式系统设计（B类）	Embedded System Design
嵌入式系统与结构	Embedded System and Optimization
嵌入式系统与优化	Embedded System and Optimization
嵌入式系统原理	Principles of Embedded System
嵌入式系统原理技术基础	Technology Fundamentals of Embedded System
嵌入式系统原理与应用	Principles and Applications of Embedded System
强度数值分析方法	Analysis Method of Intensity Numerical Value
强化物理（1）	Physics Plus (I)
强化物理（2）	Physics Plus (II)
桥梁工程	Bridge Engineering
桥梁结构	Bridge Structures
桥梁结构课程设计	Curriculum Design of Bridge Structure
桥梁施工技术	Bridge Construction Engineering
桥梁水力学	Bridge Hydraulics
切削理论及过程控制	Cutting Theory and Process Control
切削原理与过程控制	Cutting Theory and Process Control
亲属法与继承法	Kinfolks and Inheriting Law
青年心理学	Psychology of Youth
青年心理学	Youth Psychology
氢能与燃料电池技术和应用	Technology and Application of Hydrogen Energy and Fuel Cells
轻音乐经典写作	Light Music Classic Writing
清代文祸与文化	The Qing Dynasty Culture Events
清史演义	The Qing Dynasty History
情感心理学	Sensibility Psychology
求职礼仪和面试的心理调控	Amenity to Apply For a Job and Interview
求职礼仪和面试的心理调控	Job-hunting Etiquette and Psychological Adjustment in Interviews
区域经济学	Regional Economics
区域经济学（B类）	Regional Economics
区域文化发展	Regional Culture Development
渠道管理	Channel Management
渠化工程学	Canalling Engineering
全球化趋势研究（1）	Study of Globalization
全球化趋势研究（2）	Study of Globalization
全球气候变暖与二氧化碳减排	Global Warming and CO2 Reduction
全球天然气发展与展望	Natural Gas Development and Forecast
全球战略管理 (UT AUSTIN)	Global Strategic Management (UT AUSTIN)
确保模拟量检测精度的工程方法研究	Engineering Research on Analog Quantity Testing
群与代数表示论	Representation of Groups and Algebras
燃烧试验研究及数值仿真基础	Combustion Research and Numerical Emulation
燃烧学	Combustion Theory
热、机、电一体化	Integrated Technique of Thermo_mechanics and Electron
热、机、电一体化	Integrated Technique of Thermo-mechanics and Electron
热处理过程的数值模拟	Numerical simulation on heat treatment process
热工测试技术	Measurement Technique on Thermodynamic
热工测试技术	Measurement Technique on Thermodynamics
热工过程控制	Control of Thermal Engineering Process
热工过程控制C	Control of Thermal Engineering Process
热工过程自动控制	Autocontrol of Thermal Engineering Process
热工理论基础	Basis of Thermal Engineering Theory
热力发动机设计	Thermal_Engine Design
热力发动机设计(Ⅰ)A	Thermal-Engines Design
热力发动机设计（Ⅱ）A	Thermal-Engines Design
热力学和统计物理	Thermodynamics and Statistical Physics
热力学基础	Basics of Thermodynamics
热力学与统计物理	Thermodynamics and Statistical Physics
热流动计算软件的基础与应用	Basis and Application of Thermo-Fluid Simulation Software
热流体	Thermal-Fluids Engineering
热-流体（II）	Thermal-Fluids Engineering(II)
热—流体Ⅱ	Thermal-Fluids Engineering(II)
热－流体I	Thermal-Fluids
热-流体I	Thermal-Fluids Engineering I
热流体－I	Thermal-Fluids(ME230)
热-流体II	Thermal-Fluids Engineering(II) (ME330)
热能动力系统	Thermal Energy and Power System
热能动力综合实验	Thermal Energy and Power Compositive Experiment
热能与动力工程基础	Fundamentals of Thermal Energy and Power Engineering
热能专业课程设计	Professional Course Project
热系统设计及优化	Thermal System Design and Optimization
热学	Thermodynamics
人工环境	Artificial Environment
人工环境工程	Artificial Environment Engineering
人工心脏辅助系统初探	Discussion of Artificial Heart Assist Devices
人工智能	Artificial Intelligence
人工智能（B类）	Artificial Intelligence
人工智能导论	Introduction to Artificial Intelligence
人工智能导论（A类）	Introduction to Artificial Intelligence
人工智能导论（B类）	Introduction to Artificial Intelligence
人工智能和机器人学	Artificial Intelligence
人工智能基础	Fundamentals of Artificial Intelligence
人工智能及其在材料加工中的应用	Artificial Intelligence and Its Application in Materials Processing
人工智能及其在材料加工中的应用	Micro Computer and Its Application in Materials Processing
人工智能与专家系统	Artificial Intelligence and Expert System
人机工程学	Ergonomics
人机工程学概论	Introductory Ergonomics
人-机-环境工程	Man-machine and environmental engineering
人机接口与图形学	Human-Computer Interface and Computer Graphics
人机接口与图形学（A类）	Human-Computer Interface and Computer Graphics
人机接口与图形学（B类）	Human-Computer Interface and Computer Graphics
人机接口与图形学课程设计	Project Workshop on Human-Computer Interface and Computer Graphics
人机界面与PLC可视化控制	Visible Control of Human Machine
人际传播学	Human Conmmunication
人际沟通艺术与技巧	Human Communication Art and Skill
人口资源管理	Population Resource Manangement
人类工效学	Human Ergonomics
人类生长与发育	Human Growth
人类行为与新发人兽共患病	Human Behavior and Emerging Zoonosis
人力资本价值理论与研究	Human Capital Value Theory and Research
人力资源管理	Human Resources Management
人力资源管理方法学	HRM Research Methods
人力资源管理与开发	Human Resources Management & Development
人力资源管理与开发概论	Human Resources Management & Development
人力资源经济分析与会计	HR Economic Analysis and Accounting
人力资源开发与管理	Human Resource Management & Development
人力资源培训与开发	HR Training & Development
人权法	Humanitarian Law
人权法学	Human Rights Law
人权与大国关系	Human Rights and Great Power Relations
人权与大国关系	Human Rights and Great Powers Relation
人事法规与社会保障	Personnel Law and Social Safeguard
人事评价理论与方法	Theory and Method on Job Appraisal and Evaluation
人体骨骼肌肉系统生物力学	Biomechanics of Human Musculoskeletal System
人体解剖生理学	Anatomy & Physiology
人体解剖学	Anatomy & Physiology
人体解剖学（1）	Anatomy & Physiology I
人因工程	Ergonomics
人因工程学	Ergonomics
人与环境	Environment and Human Beings
人与室内环境	Man and Indoor Environment
人造器官与再生医学	Artificial Organs and Regenerative Medicine
认识另一半世界——流体运动导论	Know the Other Half of the World:Introduction of Fluid Motion
认识实习	Acquaintanceship Practice
认识实习	Cognitive Practice
认识实习（信息工程概论）	Cognitive Practice(Introduction to Information Engineering)
认识实习与社会实践	Social Practice
认识实习与社会实践（A类）	Social Practice
认识实习与社会实践（B类）	Social Practice
认识实习与社会实践（C类）	Social Practice
认识实习与社会实践（D类）	Social Practice
认识实习与社会实践（传播学）	Cognitive Practice
认识实习与社会实践（法学）	Cognitive Practice
认识实习与社会实践（公共管理类）	Cognitive Practice
认识实习与社会实践（广播影视编导）	Cognitive Practice
认识实习与社会实践（环境）	Cognitive Practice
认识实习与社会实践（环境工程）	Cognitive Practice
认识实习与社会实践（经管类）	Cognitive Practice
认识实习与社会实践（药学）	Cognitive Practice
认知科学与语言	Language & Cognitive Science
认知心理学	Cognitional Psychology
日本概况	Background Knowledge of Japan
日本概况	Background of Japan
日本近代文学史及作品赏析	Modern History of Japanese Literature and Appreciation of Its Works
日本近现代文学赏析	Japanese Contemporary Literature Appreciation
日本近现代文学欣赏（1）	Japanese Contemporary Literature Appreciation I
日本近现代文学欣赏（2）	Japanese Contemporary Literature Appreciation II
日本经济	Japanese Economiy
日本经济概况	Introduction to Japanese Economy
日本企业经营管理	Management of Japanese Enterprises
日本文化	Japanese Culture
日本文化概论	Introduction to Japanese Culture
日本问题专题讲座	Seminars on Japan
日本问题专题讲座	Seminars on Japanese Problems
日本音乐鉴赏	Appreciation of Japanese Music
日本影视	Japanese Movie and Drama
日本语初级（上）	Primary Japanese
日本语初级（下）	Primary Japanese
日常生活中的心理学	Psychology in Real Life
日汉互译	Translation
日汉互译（1）	Translation I
日汉互译（2）	Translation (2)
日语	Japanese
日语	Japanese I
日语	Japanese II
日语	Japanese III
日语	Japanese IV
日语（1）	Japanese
日语（2）	Japanese
日语（3）	Japanese
日语（4）	Japanese
日语（第二外语）（1）	Japanese(as a second foreign language)
日语（第二外语）（2）	Japanese(as a second foreign language)
日语（汉语言）	Japanese
日语报刊选读（1）	Japanese Newspapers And Periodicals Selected Readings I
日语报刊选读（1）	Japanese Newspapers And Periodicals Selected Readings I(1)
日语报刊选读（2）	Japanese Newspapers And Periodicals Selected Readings I(2)
日语报刊选读（2）	Japanese Newspapers And Periodicals Selected Readings II
日语毕业论文	Undergraduate Project (Thesis)
日语簿记	Japanese Accounting
日语泛读（1）	Japanese Extensive Reading I
日语泛读（2）	Japanese Extensive Reading II
日语泛读（3）	Japanese Extensive Reading III
日语泛读（4）	Japanese Extensive Reading IV
日语泛读（5）	Japanese Extensive Reading V
日语泛读(二)	Japanese Extensive Reading II
日语泛读(三)	Japanese Extensive Reading III
日语泛读(四)	Japanese Extensive Reading IV
日语泛读(五)	Japanese Extensive Reading
日语泛读(一)	Japanese Extensive Reading I
日语会话	Japanese Conversation
日语会话（1）	Japanese Conversation（1）
日语会话（2）	Japanese Conversation（2）
日语近代史	Modern History of Japan
日语精读	Japanese Intensive Reading
日语精读（1）	Japanese Intensive Reading I
日语精读（1）*	Japanese Intensive Reading I
日语精读(1.1)	Intensive Japanese Reading（1.1）
日语精读（1.2）	Intensive Japanese Reading（1.2）
日语精读（2）	Japanese Intensive Reading II
日语精读（2.1）	Intensive Japanese Reading（2.1）
日语精读（3）	Japanese Intensive Reading III
日语精读（3）*	Japanese Intensive Reading III
日语精读（3.1）	Intensive Japanese Reading（3.1）
日语精读（3.2）	Intensive Japanese Reading（3.2）
日语精读（4）	Intensive Japanese Reading（IV）
日语精读（4）	Japanese Intensive Reading IV
日语精读（5）	Japanese Intensive Reading V
日语精读（6）	Japanese Intensive Reading VI
日语精读（7）	Japanese Intensive Reading VII
日语精读（M类）（1）	Japanese Intensive Reading I
日语精读（M类）（2）	Japanese Intensive Reading II
日语精读（M类）（3）	Japanese Intensive Reading III
日语精读（M类）（4）	Japanese Intensive Reading IV
日语精读2	Japanese Intensive Reading II
日语精读II（2）	Intensive Japanese Reading（2.2）
日语口译	Interpretation
日语口译	Japanese Interpretation
日语口译（1）	Japanese Interpretation (1)
日语口译（2）	Japanese Interpretation (2)
日语口语（1）	Japanese Speaking I
日语口语（2）	Japanese Speaking II
日语口语（3）	Japanese Speaking III
日语口语（4）	Japanese Speaking IV
日语口语（5）	Japanese Speaking Ⅴ
日语口语（6）	Japanese Speaking Ⅵ
日语口语(二)	Japanese Speaking II
日语口语(三)	Japanese Speaking III
日语口语(四)	Japanese Speaking IV
日语口语(一)	Japanese Speaking I
日语视听	Japanese Visual and Aural Practice
日语视听（1）	"Japanese Visual,Aural Practice"
日语视听（2）	"Japanese Visual,Aural Practice"
日语视听说	"Japanese Visual,Aural and Oral Practice"
日语视听说（1）	"Japanese Visual,Aural and Oral PracticeI"
日语视听说（2）	"Japanese Visual,Aural and Oral Practice (II)"
日语视听说（2）	"Japanese Visual,Aural and Oral Practice II"
日语视听说（3）	"Japanese Visual,Aural and Oral Practice III"
日语视听说（4）	"Japanese Visual,Aural and Oral Practice (IV)"
日语视听说（4）	"Japanese Visual,Aural and Oral Practice IV"
日语视听说（5）	"Japanese Visual,Aural and Oral Practice (V)"
日语视听说（6）	"Japanese Visual,Aural and Oral Practice (VI)"
日语视听说（M类）（1）	"Japanese Visual,Aural and Oral Practice (I)"
日语视听说（M类）（2）	"Japanese Visual,Aural and Oral Practice (II)"
日语视听说（M类）（3）	"Japanese Visual,Aural and Oral Practice (III)"
日语视听说（M类）（4）	"Japanese Visual,Aural and Oral Practice (IV)"
日语视听说(二)	"Japanese Visual,Aural and Oral Practice (II)"
日语视听说(六)	"Japanese Visual,Aural and Oral Practice (VI)"
日语视听说(七)	"Japanese Visual,Aural and Oral Practice (VI)"
日语视听说(三)	"Japanese Visual,Aural and Oral Practice (III)"
日语视听说(四)	"Japanese Visual,Aural and Oral Practice (IV)"
日语视听说(五)	"Japanese Visual,Aural and Oral Practice (V)"
日语视听说(一)	"Japanese Visual,Aural and Oral Practice (I)"
日语视听说2	"Japanese Visual,Aural and Oral Practice (II)"
日语听说	Japanese Listening and Speaking
日语外来语	A loan word
日语写作	Japanese Writing
日语写作（1）	Japanese Writing I
日语写作（2）	Japanese Writing II
日语写作（3）	Japanese Writing III
日语写作（4）	Japanese Writing IV
日语演讲比赛（1）	Japanese Speaking Contest I
日语演讲比赛（2）	Japanese Speaking Contest II
日语演讲比赛（3）	Japanese Speaking Contest III
日语语法	Japanese Grammar
日语语法	Japanese Grammer
日语综合技能	Integrated Japanese Skills
日语综合阅读	Japanese Reading Comprehension
日语作文	Japanese Composition
如何思考和解答李约瑟难题	How to Think and Answer the Needham Problem
儒家文化概论	Introduction to Confucianism
儒学经典选讲	Confucianism
乳品科学与技术	Dairy Science and Technology
软件测试与质量控制	Software Testing and Quality Control
软件工程	Software Engineering
软件工程（A类）	Software Engineering(A)
软件工程（B类）	Software Engineering(B)
软件工程（C类）	Software Engineering
软件工程（D类）	Software Engineering(D)
软件工程（E类）	Software Engineering
软件工程概论	Introductory Software Engineering
软件工程基础	Introductory Software Engineering
软件过程	Software Process
软件过程与度量	Software Process and Measurement
软件过程与管理	Software Process and Management
软件基础	The Basics of Software
软件基础与开发技术	Fundamentals of Software and Its Development Technology
软件基础与开发技术	Software Fundamentals and developing Technique
软件技术基础	Fundamental of Software Technology
软件技术基础	Fundamentals of Software Technique
软件开发基础	Fundamentals of Software Development
软件开发基础 II（算法与数据结构）	Fundamentals of Software Development II
软件开发基础（2）	Fundamentals of Software Development II
软件开发基础（A类）	Fundamentals of Software Development
软件开发基础（B类）	Fundamentals of Software Development
软件开发基础（上）	Fundamentals of Software Development I
软件开发基础（下）	Fundamentals of Software Development II
软件开发技术大型课程设计	Course Design of Software Development Technology
软件配置管理	Software Configruration Management
软件设计实践	Software Design Practice
软件算法设计与实践	Software Algorithms Design and Practice
软件系统架构	Software System Architecture
软件项目管理基础	Software Project Management
软件优化	Software Optimization
软件优化技术	Software Optimization
软饮料工艺	Beverage Technology
软饮料工艺学	Beverage Technology
三废污染与防治	"Pollution and Control of Waste Gas,Waste Water and Solid Waste"
三维动画创作	Three-Dimensional Animation Design
三维动画与非线性编辑	Three-Dimensional and Nonlinear Editing
色彩	Coloring
色彩（1）	Coloring I
色彩（2）	Coloring II
色彩构成	Composition of Coloring
色彩实习	Coloring Practice
膳食指南与营养评估	Meal and Nutrition Evaluation
商标法	Trademark law
商标设计	Brand Design
商法	Business Law
商法概论	Commercial Law
商法学	Commercial Law
商务函电	Business Correspondence
商务汉语	Business Chinese
商务汉语（A类）	Businese Chinese
商务英语	Business English
商务英语（中级）	Business English
商务英语写作	Business English Writing
商务智能与现代企业管理	Business Intelligence and Modern Corporation Management
商业绘画	Commercial Painting
商业摄影	Commercial Photography
商业银行经营管理	Management and Administration of Commercial Bank
上海大学生创新活动计划(IAP1001)	Shanghai Undergarduate Innovation Program(IAP1001)
上海大学生创新活动计划(IAP1002)	Shanghai Undergarduate Innovation Program(IAP1002)
上海大学生创新活动计划(IAP1003)	Shanghai Undergarduate Innovation Program(IAP1003)
上海大学生创新活动计划(IAP1006)	Shanghai Undergarduate Innovation Program(IAP1006)
上海大学生创新活动计划(IAP1007)	Shanghai Undergarduate Innovation Program(IAP1007)
上海大学生创新活动计划(IAP1009)	Shanghai Undergarduate Innovation Program(IAP1009)
上海大学生创新活动计划(IAP1010)	Shanghai Undergarduate Innovation Program(IAP1010)
上海大学生创新活动计划(IAP1011)	Shanghai Undergarduate Innovation Program(IAP1011)
上海大学生创新活动计划(IAP1012)	Shanghai Undergarduate Innovation Program(IAP1012)
上海大学生创新活动计划(IAP1013)	Shanghai Undergarduate Innovation Program(IAP1013)
上海大学生创新活动计划(IAP1014)	Shanghai Undergarduate Innovation Program(IAP1014)
上海大学生创新活动计划(IAP1015)	Shanghai Undergarduate Innovation Program(IAP1015)
上海大学生创新活动计划(IAP1016)	Shanghai Undergarduate Innovation Program(IAP1016)
上海大学生创新活动计划(IAP1017)	Shanghai Undergarduate Innovation Program(IAP1017)
上海大学生创新活动计划(IAP1018)	Shanghai Undergarduate Innovation Program(IAP1018)
